Number,NPs EOR Method,NPs Concentration(ppm),Polymer Concentration(ppm),NPs Type,NPs Size(nm),Brine Salinity(ppm),API Gravity,Initial Oil Saturation,Viscosity(cp),Temperature,Prosity(%),Permeability(mD),Rock Type,PV injection,EOR,PV injection (ture),EOR (true),EOR after waterflooding,Paper Number,NPs EOR Method (Numeric),NPs Type (Numeric),Rock Type (Numeric),Class
1,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6037,52.2621,0,0,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
2,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6339,52.2634,0.0302,0.0013,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
3,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.664,52.2648,0.0603,0.0027,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
4,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.6941,52.2661,0.0904,0.004,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
5,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.7243,52.2674,0.1206,0.0053,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
6,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.7544,52.2687,0.1507,0.0066,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
7,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.7845,52.27,0.1808,0.0079,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
8,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.8147,52.2714,0.211,0.0093,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
9,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.8448,52.2727,0.2411,0.0106,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
10,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.8749,52.274,0.2712,0.0119,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
11,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.905,52.2753,0.3013,0.0132,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
12,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.9352,52.2766,0.3315,0.0145,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
13,Polymer-citrate-coated Fe3O4,200,400,Fe3O4,64,106200,39,78,1.1,85,24,330,Sand Stone,1.9653,52.278,0.3616,0.0159,"viscosity at 85c, sand pack flooding, NF-200-SE",2,2,1,1,1
